Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
Pfizer Inc.,11/05/1984,1849,"$181,463.30",1/28/2020,-0.04,0.02,-0.03,-0.02,0.05,10/29/2019,0.21,0.00,-0.05,0.02,0.00,7/29/2019,6%,0.01,-0.10,-0.02,0.04,4/30/2019,0.13,-0.06,0.04,0.04,0.00,1/29/2019,0.01,-0.10,-0.01,0.01,-0.03,10/30/2018,0.04,0.04,0.00,0.02,0.03
Comcast Corporation Class A,11/05/1984,1963,"$179,070.80",1/23/2020,0.03,0.03,-0.03,0.03,-0.01,10/24/2019,0.07,0.00,-0.03,-0.01,-0.02,7/25/2019,4%,0.02,-0.02,0.03,0.04,4/25/2019,0.12,0.00,0.02,0.01,-0.05,1/23/2019,0.03,-0.05,-0.03,0.02,0.01,10/25/2018,0.07,0.04,0.03,0.04,0.00
"PepsiCo, Inc.",11/05/1984,1965,"$177,097.50",2/13/2020,0.01,0.00,0.02,0.06,0.00,10/3/2019,0.04,0.03,-0.04,-0.01,-0.05,7/9/2019,3%,-0.02,-0.02,0.01,0.04,4/17/2019,0.06,-0.01,-0.01,0.04,0.03,2/15/2019,0.00,-0.02,-0.01,0.00,0.03,10/2/2018,0.01,-0.05,0.03,0.10,0.01
Adobe Inc., 8/13/1986,1982,"$162,136.40",3/13/2020,0.02,0.01,0.00,0.00,0.00,12/13/2019,0.01,-0.02,0.02,0.03,0.02,9/18/2019,4%,-0.03,0.00,-0.01,0.00,6/19/2019,0.03,-0.01,0.03,0.01,-0.02,3/15/2019,0.06,0.01,0.03,-0.01,0.04,12/14/2018,-0.03,0.03,0.02,0.03,-0.03
Exxon Mobil Corporation,11/05/1984,1882,"$161,331.10",1/31/2020,-0.04,-0.06,-0.07,-0.03,-0.29,11/1/2019,0.02,-0.02,-0.02,-0.01,0.00,8/2/2019,-8%,-0.02,-0.04,-0.01,0.05,4/26/2019,-0.22,0.00,-0.03,-0.01,-0.01,2/1/2019,0.19,-0.01,0.00,0.03,0.00,11/2/2018,0.20,0.00,-0.04,0.01,-0.03
"Cisco Systems, Inc.", 2/16/1990,1984,"$159,626.70",2/13/2020,0.02,0.03,-0.04,0.03,0.00,11/14/2019,0.04,0.00,-0.01,-0.01,0.04,8/15/2019,2%,-0.04,-0.01,0.03,0.00,5/16/2019,0.01,-0.03,-0.03,0.00,-0.01,2/14/2019,0.01,-0.01,0.04,0.03,0.01,11/15/2018,0.05,-0.03,0.01,0.00,-0.01
Chevron Corporation,11/05/1984,1906,"$156,773.30",1/31/2020,-0.15,-0.04,-0.02,-0.04,-0.14,11/1/2019,0.05,-0.01,0.02,-0.03,0.00,8/2/2019,29%,-0.02,-0.03,0.00,0.03,4/26/2019,0.01,-0.07,0.06,-0.01,0.01,2/1/2019,0.04,-0.01,-0.02,0.02,0.02,11/2/2018,0.18,-0.04,0.03,-0.01,0.00
Oracle Corporation, 3/13/1986,1977,"$153,742.60",3/13/2020,0.01,-0.05,0.00,0.00,0.00,12/13/2019,0.02,-0.01,-0.05,0.02,-0.03,9/12/2019,0%,0.03,0.02,0.04,-0.05,6/20/2019,0.08,-0.02,0.03,-0.03,-0.01,3/15/2019,0.04,0.01,0.01,-0.01,0.00,12/18/2018,0.02,0.01,0.02,0.01,0.02
"Netflix, Inc.", 5/23/2002,1997,"$147,568.60",1/22/2020,1.50,-0.02,0.13,0.03,0.07,10/17/2019,0.42,0.03,-0.03,-0.01,0.07,7/18/2019,7%,-0.04,0.00,-0.04,-0.02,4/17/2019,0.32,-0.04,0.06,-0.04,0.00,1/18/2019,0.27,0.23,0.02,0.01,-0.03,10/17/2018,0.31,-0.04,-0.14,-0.05,-0.01
NVIDIA Corporation, 1/22/1999,1993,"$147,394.10",2/14/2020,0.13,0.07,0.04,-0.13,0.00,11/15/2019,0.12,0.02,0.03,0.05,0.04,8/16/2019,8%,-0.06,0.04,0.05,-0.02,5/17/2019,0.55,-0.11,-0.11,0.03,0.12,2/15/2019,0.66,0.06,-0.01,0.07,0.07,11/16/2018,0.15,-0.07,0.01,-0.05,-0.09
Abbott Laboratories,11/05/1984,1888,"$143,984.30",1/22/2020,0.00,0.02,-0.03,-0.02,0.01,10/16/2019,0.00,-0.02,0.01,-0.01,-0.01,7/17/2019,2%,-0.03,0.02,0.01,-0.01,4/17/2019,0.03,-0.06,0.07,-0.02,0.04,1/23/2019,0.00,0.00,0.02,0.01,0.03,10/17/2018,0.01,0.00,0.02,0.01,0.04
Costco Wholesale Corporation,11/27/1985,1983,"$133,476.40",3/6/2020,0.02,0.08,-0.03,0.00,0.00,12/13/2019,0.01,-0.02,0.00,0.00,0.04,10/4/2019,6%,0.04,0.03,-0.05,0.01,5/31/2019,0.03,0.01,0.04,0.00,0.04,3/8/2019,0.19,0.02,0.03,0.00,-0.02,12/14/2018,-0.02,0.02,0.02,-0.01,-0.03
Eli Lilly and Company,11/05/1984,1876,"$133,291.00",1/30/2020,0.14,0.00,-0.03,0.01,0.20,10/23/2019,0.05,-0.01,0.04,-0.01,0.04,7/30/2019,3%,0.00,0.09,-0.02,-0.04,4/30/2019,0.02,-0.04,0.02,0.02,-0.04,12/19/2018,-0.02,-0.01,0.05,-0.04,0.01,11/6/2018,0.03,-0.01,0.12,-0.01,0.03
"salesforce.com, inc.", 6/23/2004,1999,"$132,263.10",2/26/2020,0.18,0.02,-0.02,-0.04,0.00,12/4/2019,0.13,0.00,0.01,0.02,0.07,8/23/2019,39%,0.04,-0.06,0.03,-0.02,4/16/2019,0.52,-0.02,0.02,-0.02,0.03,3/5/2019,0.27,-0.01,0.03,-0.03,-0.03,11/28/2018,0.22,-0.01,0.04,0.02,0.05
McDonald's Corporation,11/05/1984,1955,"$132,041.00",1/29/2020,0.00,0.02,-0.02,0.04,0.01,10/22/2019,-0.04,-0.03,-0.06,-0.01,0.01,7/26/2019,0%,0.01,0.06,-0.01,-0.03,4/30/2019,-0.02,0.02,0.04,0.01,0.01,1/30/2019,0.04,-0.02,-0.07,0.04,-0.01,10/23/2018,0.05,0.04,0.03,0.05,-0.01
PayPal Holdings Inc, 7/06/2015,1998,"$129,201.00",1/30/2020,0.03,0.02,0.00,0.02,0.11,10/24/2019,0.17,-0.06,-0.07,0.01,0.00,7/25/2019,24%,0.00,-0.05,0.02,-0.01,4/25/2019,0.15,-0.01,0.01,0.02,0.02,1/31/2019,0.04,-0.02,0.05,0.02,0.02,10/19/2018,0.07,-0.04,0.00,0.01,0.01
Wells Fargo & Company,11/05/1984,1852,"$126,645.50",1/14/2020,-0.47,-0.05,-0.04,-0.02,0.01,10/15/2019,-0.26,-0.02,0.03,0.02,-0.02,7/16/2019,11%,-0.04,0.07,-0.03,-0.01,4/12/2019,0.07,-0.05,0.03,0.00,-0.01,1/15/2019,0.01,0.02,0.02,-0.05,0.00,10/12/2018,-0.05,0.04,0.02,-0.01,0.03
"AbbVie, Inc.",12/10/2012,2011,"$126,275.60",2/7/2020,0.01,0.02,0.04,0.06,0.00,11/1/2019,0.01,0.05,0.07,-0.02,0.00,7/26/2019,2%,-0.07,0.00,0.03,-0.04,4/25/2019,0.04,-0.07,0.00,0.06,-0.07,1/25/2019,-0.02,-0.04,-0.03,-0.03,-0.02,11/2/2018,0.06,-0.10,0.14,0.00,-0.02
Bristol-Myers Squibb Company,11/05/1984,1933,"$124,140.50",2/6/2020,0.38,-0.03,-0.02,0.03,-0.09,10/31/2019,0.09,0.08,0.00,-0.04,0.11,7/25/2019,11%,-0.07,0.06,0.02,-0.01,4/25/2019,0.01,-0.05,0.05,0.02,-0.03,1/24/2019,0.11,0.02,0.00,-0.01,0.02,10/25/2018,0.19,-0.15,0.03,0.06,-0.01
Philip Morris International Inc., 3/17/2008,1847,"$123,695.00",2/6/2020,0.01,-0.06,0.04,0.08,-0.09,10/17/2019,0.05,0.00,0.01,0.01,-0.02,7/18/2019,11%,0.01,-0.05,0.06,-0.17,3/4/2019,0.07,0.05,0.03,-0.04,-0.04,2/7/2019,0.07,-0.02,0.10,0.02,0.03,10/18/2018,0.12,0.06,0.02,-0.03,0.00
Thermo Fisher Scientific Inc.,11/05/1984,1960,"$119,696.30",1/30/2020,0.00,0.01,0.02,-0.01,0.12,10/23/2019,0.02,0.00,-0.03,0.03,0.02,7/24/2019,1%,-0.02,0.00,0.00,0.04,4/24/2019,0.03,-0.07,0.05,0.01,0.02,1/30/2019,0.02,-0.02,-0.02,0.04,0.00,10/24/2018,0.03,-0.02,0.05,0.01,0.02
Amgen Inc.,11/05/1984,1980,"$119,200.00",1/31/2020,0.07,-0.06,-0.01,0.03,-0.05,10/30/2019,0.04,0.01,0.03,0.05,0.00,7/31/2019,11%,-0.01,0.11,0.03,-0.11,5/1/2019,0.03,-0.08,-0.01,0.02,0.01,1/30/2019,0.04,-0.05,-0.01,-0.01,-0.02,10/31/2018,0.07,-0.02,-0.01,0.05,0.00
Medtronic Plc,11/05/1984,1949,"$119,033.50",2/18/2020,0.04,-0.03,0.00,-0.12,0.00,11/19/2019,0.02,0.02,0.01,-0.01,-0.01,8/20/2019,7%,0.02,-0.01,0.00,0.01,5/23/2019,0.05,0.00,0.04,0.00,-0.02,2/19/2019,0.04,0.02,0.00,-0.01,-0.04,11/20/2018,0.06,0.00,0.02,0.02,-0.11
"NIKE, Inc. Class B",11/05/1984,1964,"$117,705.00",12/20/2019,0.21,0.03,0.01,0.00,-0.04,9/25/2019,0.23,0.01,0.04,-0.03,-0.05,6/28/2019,-6%,-0.01,0.04,-0.02,-0.02,3/22/2019,0.05,0.00,0.01,0.02,-0.05,12/21/2018,0.14,-0.02,-0.01,0.02,-0.01,9/26/2018,0.07,0.02,-0.06,0.01,0.02
"NextEra Energy, Inc.",11/05/1984,1984,"$108,335.30",1/24/2020,-0.04,0.06,0.01,0.05,0.10,10/22/2019,0.05,-0.02,-0.07,0.01,0.01,7/24/2019,2%,-0.01,0.06,0.02,-0.02,4/23/2019,0.07,0.00,0.02,0.05,0.04,1/25/2019,-0.03,0.02,0.03,-0.01,0.01,10/23/2018,0.01,0.04,0.00,0.08,0.00
Citigroup Inc.,10/29/1986,1812,"$107,092.50",1/14/2020,0.19,0.00,-0.06,0.00,-0.07,10/15/2019,0.06,0.02,0.01,0.01,-0.01,7/15/2019,8%,0.02,0.00,-0.06,-0.02,4/15/2019,0.04,0.06,0.04,-0.04,-0.01,1/14/2019,0.06,0.05,0.05,-0.05,0.01,10/12/2018,0.03,0.00,-0.04,-0.02,0.01
American Tower Corporation, 2/25/1998,1995,"$105,851.50",2/25/2020,0.23,0.06,0.07,-0.02,0.00,10/31/2019,0.18,-0.04,-0.05,0.00,-0.02,7/31/2019,8%,-0.01,0.08,0.03,-0.09,5/3/2019,0.04,0.00,0.08,0.07,-0.03,2/27/2019,-0.18,-0.03,0.07,0.04,-0.02,10/30/2018,0.03,0.11,-0.01,0.00,0.06
Accenture Plc Class A, 7/19/2001,1989,"$105,741.10",12/19/2019,0.05,0.00,-0.01,-0.02,0.02,9/26/2019,0.01,0.01,-0.03,-0.02,0.00,6/27/2019,2%,-0.01,0.04,0.00,0.01,3/28/2019,0.10,0.02,-0.01,0.00,-0.02,12/20/2018,0.05,-0.01,-0.04,0.02,0.02,9/27/2018,0.02,0.01,-0.02,0.01,0.01
Honeywell International Inc.,11/05/1984,1885,"$105,675.80",1/31/2020,0.01,-0.01,-0.01,-0.01,-0.09,10/17/2019,0.03,-0.02,0.02,0.02,-0.02,7/18/2019,1%,-0.05,-0.01,-0.01,-0.02,4/18/2019,0.05,0.01,0.01,0.01,0.02,2/1/2019,0.01,0.01,0.03,0.00,0.01,10/19/2018,0.02,-0.01,-0.04,0.01,-0.02
Union Pacific Corporation,11/05/1984,1969,"$99,294.05",1/23/2020,-0.01,-0.01,-0.01,-0.02,-0.03,10/17/2019,-0.04,0.04,0.00,0.04,-0.01,7/18/2019,3%,-0.04,0.02,-0.04,-0.03,4/18/2019,0.03,-0.01,0.00,0.00,-0.01,1/24/2019,0.03,0.00,-0.02,0.02,-0.02,10/25/2018,0.03,-0.04,0.02,0.00,0.03
Texas Instruments Incorporated,11/05/1984,1930,"$99,007.96",1/23/2020,0.09,0.00,-0.02,-0.03,-0.01,10/23/2019,0.05,-0.01,-0.01,-0.05,0.03,7/24/2019,12%,0.03,-0.02,0.03,-0.01,4/24/2019,0.12,0.00,-0.03,-0.04,0.03,1/24/2019,0.03,-0.01,-0.01,0.00,-0.01,10/24/2018,0.03,0.02,0.00,0.05,-0.03
Danaher Corporation,11/05/1984,1969,"$98,440.95",1/30/2020,0.03,0.03,-0.06,0.01,0.07,10/24/2019,0.01,-0.02,-0.04,0.06,0.02,7/18/2019,3%,-0.04,-0.01,0.01,0.00,4/18/2019,0.05,-0.06,0.05,0.00,0.05,1/29/2019,0.01,-0.01,0.02,0.12,0.01,10/18/2018,0.02,0.01,0.00,0.01,0.07
International Business Machines Corporation,11/05/1984,1911,"$95,903.64",1/22/2020,0.00,0.01,0.08,-0.04,-0.04,10/17/2019,0.01,-0.03,-0.02,-0.02,-0.01,7/18/2019,3%,0.02,0.02,-0.09,-0.01,4/17/2019,0.01,0.00,0.00,-0.01,-0.02,1/23/2019,0.01,0.00,-0.01,-0.01,-0.01,10/17/2018,0.01,-0.02,-0.10,0.04,0.00
Boeing Company,11/05/1984,1916,"$95,848.47",1/29/2020,-2.77,-0.04,0.05,-0.05,-0.30,10/23/2019,-0.31,-0.14,0.02,0.04,-0.07,7/24/2019,-13%,0.05,-0.04,0.01,0.04,4/24/2019,-0.01,-0.02,-0.03,-0.01,0.00,1/30/2019,0.20,0.02,0.03,0.06,-0.16,10/24/2018,0.03,-0.04,-0.01,-0.09,0.02
"Charter Communications, Inc. Class A",12/02/2009,1993,"$95,368.98",1/31/2020,0.31,-0.04,-0.02,0.01,-0.09,10/25/2019,0.04,-0.01,-0.01,-0.01,-0.01,7/26/2019,-23%,-0.01,-0.01,0.04,0.04,4/30/2019,-0.16,0.03,0.04,0.02,0.01,1/31/2019,-0.12,-0.04,0.02,-0.01,0.02,10/26/2018,1.01,0.05,0.04,0.01,0.01
Linde plc, 6/17/1992,2017,"$94,067.45",2/13/2020,0.03,0.01,-0.02,0.01,0.00,11/12/2019,0.09,0.01,-0.02,0.00,0.01,8/5/2019,5%,-0.06,-0.04,0.00,-0.01,5/10/2019,0.05,0.00,0.05,0.04,0.00,3/1/2019,-0.04,0.02,0.04,-0.01,0.00,11/9/2018,0.01,-0.04,0.01,0.01,0.04
Broadcom Inc., 8/06/2009,1961,"$93,561.19",3/13/2020,-0.02,-0.04,0.00,0.00,0.00,12/13/2019,0.00,0.02,-0.02,-0.04,0.03,9/13/2019,1%,0.05,-0.04,0.02,0.01,6/14/2019,0.00,0.06,0.07,-0.02,0.04,3/15/2019,0.06,-0.03,0.03,0.03,-0.03,12/7/2018,0.05,-0.02,0.16,-0.10,0.07
Lockheed Martin Corporation,11/05/1984,1961,"$92,641.68",1/28/2020,0.05,0.05,-0.02,-0.02,0.01,10/22/2019,0.13,-0.05,-0.03,0.03,-0.01,7/23/2019,5%,-0.03,0.07,0.03,0.01,4/23/2019,0.38,0.04,0.01,0.04,0.04,1/29/2019,0.00,0.02,0.00,-0.01,-0.02,10/23/2018,0.19,-0.02,-0.05,0.00,-0.05
United Technologies Corporation,11/05/1984,1934,"$91,203.57",1/28/2020,0.05,0.00,-0.01,-0.04,-0.10,10/22/2019,0.09,0.02,0.02,-0.01,-0.02,7/23/2019,7%,0.01,0.00,-0.02,0.02,4/23/2019,0.12,0.02,-0.02,0.01,-0.02,1/23/2019,0.26,0.00,0.00,0.02,-0.01,10/23/2018,0.06,-0.05,-0.02,0.02,-0.06
"Gilead Sciences, Inc.", 1/22/1992,1987,"$89,402.31",2/5/2020,-0.22,0.08,0.00,0.24,-0.07,10/25/2019,0.01,0.02,0.01,-0.01,0.02,7/31/2019,6%,0.00,0.01,-0.01,0.00,5/3/2019,0.09,0.03,0.02,0.00,0.00,2/5/2019,-0.15,-0.01,-0.03,-0.06,0.01,10/26/2018,0.13,-0.05,-0.03,-0.02,0.02
QUALCOMM Incorporated,12/13/1991,1985,"$86,654.09",2/6/2020,0.16,-0.03,-0.04,0.00,-0.02,11/7/2019,0.10,0.07,-0.06,-0.03,0.04,8/1/2019,6%,-0.03,0.03,0.05,0.00,5/2/2019,0.09,0.22,-0.04,-0.15,-0.02,1/31/2019,0.10,-0.13,0.02,0.03,0.04,11/8/2018,0.09,-0.05,0.01,0.03,0.05
Starbucks Corporation, 6/26/1992,1985,"$82,065.10",1/29/2020,0.04,-0.02,-0.01,0.00,-0.04,10/31/2019,0.00,-0.05,-0.02,0.00,0.03,7/26/2019,8%,0.02,0.01,0.01,-0.05,4/26/2019,0.07,0.01,0.03,-0.01,0.05,1/25/2019,0.15,-0.01,0.02,-0.01,-0.02,11/2/2018,0.03,0.01,0.05,-0.03,0.05
